"Timestamp","Mode","Strategy","TotalMs","QExpMs","RetrievalMs","DenseMs","SparseMs","MergeMs","RerankMs","ContextMs","LlmMs","GuardrailMs","ThreadPoolSize","ParallelGranularity","NestedDenseSparse"
"2025-12-10T19:38:54.667+09:00","SEQUENTIAL","SEQUENTIAL","14546","4910","5339","3157","1","2060","2","1","4294","0","1","FINE","True"
"2025-12-10T19:39:02.951+09:00","SEQUENTIAL","SEQUENTIAL","8228","2393","3008","1159","2","1769","1","0","2826","0","1","FINE","True"
"2025-12-10T19:39:15.602+09:00","SEQUENTIAL","SEQUENTIAL","12638","2452","7794","1806","85","5880","1","0","2391","0","1","FINE","True"
"2025-12-10T19:39:26.413+09:00","SEQUENTIAL","SEQUENTIAL","10802","1688","5411","3527","0","1805","1","0","3702","0","1","FINE","True"
"2025-12-10T19:39:34.895+09:00","SEQUENTIAL","SEQUENTIAL","8470","1241","5292","1009","28","4193","2","0","1936","0","1","FINE","True"
"2025-12-10T19:39:45.628+09:00","SEQUENTIAL","SEQUENTIAL","10715","1697","6911","993","19","5882","1","0","2106","0","1","FINE","True"
"2025-12-10T19:39:54.280+09:00","SEQUENTIAL","SEQUENTIAL","8641","1592","4173","2249","0","1833","1","0","2875","0","1","FINE","True"
"2025-12-10T19:40:01.275+09:00","SEQUENTIAL","SEQUENTIAL","6985","1341","3043","1247","1","1718","1","0","2600","0","1","FINE","True"
"2025-12-10T19:40:12.679+09:00","SEQUENTIAL","SEQUENTIAL","11397","1309","7238","1333","16","5872","1","0","2849","0","1","FINE","True"
"2025-12-10T19:40:21.601+09:00","SEQUENTIAL","SEQUENTIAL","8908","1624","3574","1646","0","1835","1","0","3709","0","1","FINE","True"
"2025-12-10T19:40:31.601+09:00","SEQUENTIAL","SEQUENTIAL","9994","1898","5573","1341","10","4161","2","0","2522","0","1","FINE","True"
"2025-12-10T19:40:42.788+09:00","SEQUENTIAL","SEQUENTIAL","11178","1666","7157","1369","14","5759","1","0","2353","0","1","FINE","True"
"2025-12-10T19:40:51.286+09:00","SEQUENTIAL","SEQUENTIAL","8490","1708","3137","1175","1","1858","1","0","3644","0","1","FINE","True"
"2025-12-10T19:41:10.232+09:00","SEQUENTIAL","SEQUENTIAL","18939","2273","13298","11481","0","1736","1","0","3367","0","1","FINE","True"
"2025-12-10T19:41:22.106+09:00","SEQUENTIAL","SEQUENTIAL","11868","1532","7194","1227","14","5936","1","0","3140","0","1","FINE","True"
"2025-12-10T19:41:31.514+09:00","SEQUENTIAL","SEQUENTIAL","9400","2898","3648","1791","0","1781","1","0","2853","0","1","FINE","True"
"2025-12-10T19:41:50.032+09:00","SEQUENTIAL","SEQUENTIAL","18508","1298","13469","11650","0","1739","1","0","3740","0","1","FINE","True"
"2025-12-10T19:42:01.747+09:00","SEQUENTIAL","SEQUENTIAL","11694","1768","7930","1886","17","6010","1","0","1995","0","1","FINE","True"
"2025-12-10T19:42:13.762+09:00","SEQUENTIAL","SEQUENTIAL","12007","1894","7047","2816","13","4152","2","0","3064","0","1","FINE","True"
"2025-12-10T19:42:22.428+09:00","SEQUENTIAL","SEQUENTIAL","8657","1383","3401","1593","0","1728","1","0","3872","0","1","FINE","True"
"2025-12-10T19:42:35.061+09:00","SEQUENTIAL","SEQUENTIAL","12624","2476","7667","1777","14","5860","1","0","2481","0","1","FINE","True"
"2025-12-10T19:42:43.433+09:00","SEQUENTIAL","SEQUENTIAL","8366","1524","3395","1383","0","1907","1","0","3446","0","1","FINE","True"
"2025-12-10T19:42:53.021+09:00","SEQUENTIAL","SEQUENTIAL","9579","2144","3379","1587","0","1714","1","0","4054","0","1","FINE","True"
"2025-12-10T19:43:04.934+09:00","SEQUENTIAL","SEQUENTIAL","11904","1488","8035","1509","17","6489","1","0","2380","0","1","FINE","True"
"2025-12-10T19:43:13.157+09:00","SEQUENTIAL","SEQUENTIAL","8210","1559","3138","1113","0","1903","1","0","3512","0","1","FINE","True"
"2025-12-10T19:43:22.410+09:00","SEQUENTIAL","SEQUENTIAL","9245","1488","5465","1201","10","4193","2","0","2292","0","1","FINE","True"
"2025-12-10T19:43:33.345+09:00","SEQUENTIAL","SEQUENTIAL","10925","1735","7028","1159","13","5839","1","0","2161","0","1","FINE","True"
"2025-12-10T19:43:43.480+09:00","SEQUENTIAL","SEQUENTIAL","10127","1546","3056","1171","0","1790","1","0","5523","0","1","FINE","True"
"2025-12-10T19:43:51.059+09:00","SEQUENTIAL","SEQUENTIAL","7568","1560","2998","1158","0","1760","1","0","3008","0","1","FINE","True"
"2025-12-10T19:44:02.139+09:00","SEQUENTIAL","SEQUENTIAL","11072","1732","7171","1219","15","5917","1","0","2168","0","1","FINE","True"
"2025-12-10T20:03:44.031+09:00","PARALLEL_OLD","V1_OLD","10502","3458","4289","1762","2","2443","3","1","2752","0","1","FINE","True"
"2025-12-10T20:03:53.527+09:00","PARALLEL_OLD","V1_OLD","9439","3167","3251","1367","1","1786","1","0","3020","0","1","FINE","True"
"2025-12-10T20:04:18.239+09:00","PARALLEL_OLD","V1_OLD","24701","1548","17715","11636","68","5995","1","0","5437","0","1","FINE","True"
"2025-12-10T20:04:27.285+09:00","PARALLEL_OLD","V1_OLD","9036","1455","3330","1352","0","1867","2","0","4250","0","1","FINE","True"
"2025-12-10T20:04:41.191+09:00","PARALLEL_OLD","V1_OLD","13892","2217","5444","1151","29","4204","2","0","6230","0","1","FINE","True"
"2025-12-10T20:04:52.718+09:00","PARALLEL_OLD","V1_OLD","11503","1523","6935","1061","19","5838","1","0","3043","0","1","FINE","True"
